poc_id,sku_id,region_id,country_id,city_id,order_id,channel_id,brand_id,subsegment_id,state_id,segment_id,route_id, delivery_center_id,deliver_region_id,sales_route_id,date,join_date,bees_join_date,days_since_last_order,is_purchased,quantity,average_products_per_order,interaction_score,number_of_orders_for_pid,credit_total,credit_payment_terms,maltas,cervezas,agua,num_skus,num_orders,skus_per_order,average_order_revenue
45,48,65,68,68,10,84,22,37,88,71,89,89,13,59,2020-01-01,2020-01-01,2020-01-01,1,47,0.03161224249202088,0.8054087600630048,0.11457987769586919,0.23850140403065312,0.5923122178582433,0.8142310358893017,0.8934564213811446,0.8814114393242082,0.07031209823884854,0.07910601066442924,0.4579230283248119,0.6585183882192427,0.9006906876144021
66,40,88,47,89,82,38,26,78,73,10,21,81,70,80,2020-01-02,2020-01-02,2020-01-02,72,45,0.057686269278716895,0.36039950420929934,0.9056384927200524,0.7747559458913283,0.8204879130319425,0.23554694719948277,0.6832777196976023,0.5910331816634677,0.6478801099164329,0.35992905946553466,0.4305661863961191,0.8829317233825418,0.3321015008985725
48,65,83,89,50,30,20,20,15,40,33,66,10,58,33,2020-01-03,2020-01-03,2020-01-03,79,35,0.6912235763349036,0.4630921850251909,0.39132921817911426,0.534728263332545,0.45707581164127353,0.05489011386509679,0.1126247765931262,0.686056147811698,0.7740482415610683,0.6154629657375981,0.4263041657927942,0.7156019916020788,0.7523214746574226
32,75,24,36,76,56,29,35,1,1,37,54,6,39,18,2020-01-04,2020-01-04,2020-01-04,89,63,0.8772565957567746,0.38881805196958374,0.197733819444614,0.22018684044060444,0.6544167520492643,0.5307307977355452,0.7486724325895093,0.07188770447768322,0.3854764265089764,0.6848248986251874,0.7411069983801968,0.3758209935261254,0.0296405203529162
80,5,43,59,32,2,66,42,58,36,12,47,83,92,1,2020-01-05,2020-01-05,2020-01-05,68,64,0.14206717229383736,0.003324679124371288,0.057742770139600164,0.7035520333094714,0.4073504878844212,0.6216801211896739,0.37689747343718705,0.6584163959122533,0.918101081439841,0.5000325759477758,0.17970178081710175,0.8214513347085176,0.22486723363843897
15,54,13,43,85,76,69,7,69,48,4,77,53,79,16,2020-01-06,2020-01-06,2020-01-06,68,12,0.014394836937927535,0.33575250959933767,0.7237930550041252,0.32542376146551155,0.9900401786069606,0.5055679213927308,0.07252960694869637,0.3076937614969517,0.3078490715775185,0.5483185573248865,0.08250615431669261,0.9498374612206142,0.4148759010426375
21,59,24,80,14,86,49,50,70,42,36,65,96,70,95,2020-01-07,2020-01-07,2020-01-07,41,36,0.9571630040907501,0.940001852994272,0.2715493198980531,0.29260370671375335,0.6361711479469596,0.3847565243868324,0.3306482698684631,0.6510934076819939,0.23944698604287384,0.20317882716028057,0.29938258641173265,0.5968169012619252,0.18550182769565637
1,51,37,35,49,94,4,99,43,78,22,74,1,11,44,2020-01-08,2020-01-08,2020-01-08,67,78,0.09158444364837792,0.5311708294966965,0.6098480686280998,0.25954233011603234,0.7670850851964565,0.06996478149899465,0.7130672375345548,0.4001918442120638,0.40501996501764825,0.47456712826919123,0.9792065236402681,0.7946807393641275,0.19435189544263376
59,24,60,3,99,63,36,95,68,83,47,21,82,51,28,2020-01-09,2020-01-09,2020-01-09,14,98,0.17670257432110714,0.7394131914945054,0.32157090566731794,0.791543472921491,0.5276603862043305,0.5833817290606735,0.23057749745537126,0.34487718192930394,0.2607088972205436,0.8281890860079822,0.3689596180776623,0.8661999215050907,0.949200259515078
15,42,59,66,37,11,87,44,12,3,52,81,33,55,1,2020-01-10,2020-01-10,2020-01-10,47,67,0.43754880134908636,0.8309999325857069,0.9556488372169695,0.30372953997427066,0.6310978462853546,0.8663905775763872,0.38577026983152773,0.5638715538609108,0.17115469101607983,0.9850381816835567,0.4905223972141569,0.44234640302137807,0.5293241937293928
